id,TIME_SERVER,TIME_GPS,LATITUDE,N_S,LONGITUDE,E_W,HUMIDITY,BAROMETER,AIR_TEMPERATURE,WIND_SPEED_REL,WIND_SPEED_TRUE,WIND_DIR_REL,WIND_DIR_TRUE
1,15/04/2015 10:00,10:02:19,4652.322,S,3752.17,E,53,1.004,4.9,6.2,,102.5,
2,15/04/2015 10:05,10:07:25,4652.321,S,3752.17,E,55,1.0035,5.2,6.2,7,60.5,199.3
3,15/04/2015 10:10,10:12:35,4652.32,S,3752.169,E,55.5,1.0035,5.2,7,,60,
4,15/04/2015 10:15,10:17:44,4652.32,S,3752.169,E,55.5,1.004,5,6.4,7.5,86.5,233.8
5,15/04/2015 10:20,10:22:32,4652.32,S,3752.169,E,54,1.004,5.2,5.9,5.9,70,225.3
6,15/04/2015 10:25,10:27:33,4652.32,S,3752.169,E,61,1.004,5,6.6,6.8,45.5,196.2
7,15/04/2015 10:30,10:32:41,4652.315,S,3752.163,E,60,1.004,4.5,6.8,,181.5,
8,15/04/2015 10:35,10:37:17,4652.304,S,3752.166,E,59.5,1.004,4.5,7.8,6.5,323.5,203.6
9,15/04/2015 10:40,10:42:30,4652.304,S,3752.166,E,58,1.004,4.6,7.6,7.9,308,176.7
10,15/04/2015 10:45,10:47:35,4652.304,S,3752.166,E,58.5,1.004,4.7,7,,308.5,
11,15/04/2015 10:50,10:52:42,4652.308,S,3752.165,E,55,1.004,4.8,6.8,,344,
12,15/04/2015 10:55,10:57:17,4652.309,S,3752.164,E,60.5,1.004,4.9,6.5,,182.5,
13,15/04/2015 11:00,11:02:20,4652.309,S,3752.164,E,56,1.004,4.8,7.5,8.1,357,214.6
14,15/04/2015 11:05,11:07:26,4652.308,S,3752.164,E,56.5,1.004,4.6,6.7,6.8,15.5,218.6
15,15/04/2015 11:10,11:12:39,4652.309,S,3752.165,E,56.5,1.004,4.5,5.4,,194.5,
16,15/04/2015 11:15,11:17:41,4652.309,S,3752.164,E,56,1.004,4.6,6.5,6.4,7,214.8
17,15/04/2015 11:20,11:22:20,4652.309,S,3752.165,E,56,1.004,4.6,5.4,,12.5,
18,15/04/2015 11:25,11:27:24,4652.309,S,3752.165,E,56,1.004,4.6,7.4,,27,
19,15/04/2015 11:30,11:32:32,4652.308,S,3752.165,E,59,1.004,4.5,6.3,,355,
20,15/04/2015 11:35,11:37:36,4652.309,S,3752.165,E,57,1.004,4.2,7.7,,5.5,
21,15/04/2015 11:40,11:42:20,4652.308,S,3752.165,E,56.5,1.004,4.4,6.7,,10,
22,15/04/2015 11:45,11:47:25,4652.308,S,3752.165,E,56.5,1.004,4.4,7.2,,38.5,
23,15/04/2015 11:50,11:52:33,4652.308,S,3752.165,E,58,1.004,4.6,6.2,,21.5,
24,15/04/2015 11:55,11:57:17,4652.308,S,3752.164,E,60,1.004,4.7,6.8,,175.5,
25,15/04/2015 12:00,12:02:24,4652.308,S,3752.165,E,57.5,1.004,4.8,5.1,,179,
26,15/04/2015 12:05,12:07:28,4652.308,S,3752.165,E,58.5,1.0045,4.6,5.7,,180,
27,15/04/2015 12:10,12:12:38,4652.337,S,3752.258,E,58,1.005,4.6,5.4,8.1,136.5,229.3
28,15/04/2015 12:15,12:17:42,4652.066,S,3752.906,E,60,1.005,4.7,0.6,9.1,133.5,241.1
29,15/04/2015 12:20,12:22:18,4651.639,S,3753.831,E,60,1.005,5.4,3.5,11.7,99,220.6
30,15/04/2015 12:25,12:27:23,4651.164,S,3754.881,E,60,1.005,5.2,3.1,10.6,98,220.3
31,15/04/2015 12:30,12:32:29,4650.575,S,3755.905,E,60,1.0045,5,2.6,11.8,109.5,212.1
32,15/04/2015 12:35,12:37:33,4649.919,S,3756.94,E,61.5,1.005,4.7,3.8,,96,
33,15/04/2015 12:40,12:42:40,4649.262,S,3757.997,E,62.5,1.005,4.4,3.1,,124,
34,15/04/2015 12:45,12:47:12,4648.662,S,3758.941,E,64,1.005,4.3,3.3,,104,
35,15/04/2015 12:50,12:52:29,4647.977,S,3759.906,E,61.5,1.005,4.2,3.9,10.3,143.5,213.5
36,15/04/2015 12:55,,,,,,,,,2.3,,252,
37,15/04/2015 13:00,,,,,,,,,,,,
